"subset","test","x_var","y_var","n","estimate","p_value","p_adjusted_BH"
"All points","NH slope vs SH slope","slope_Northern","slope_Southern",48,-0.149,0.311,0.921
"All points","|NH-SH slope| vs k_min asymmetry","k_min_asym","slope_diff_abs",48,-0.075,0.614,0.921
"All points","|NH-SH slope| vs n_cells asymmetry","n_cells_asym","slope_diff_abs",48,-0.299,0.039,0.272
"All points","|NH-SH slope| vs lat-bin difference","n_lat_bins_diff","slope_diff_abs",48,-0.021,0.888,0.937
"All points","|NH-SH slope| vs lat-bin unevenness difference","k_cv_diff","slope_diff_abs",48,-0.273,0.0603,0.272
"All points","|NH-SH slope| vs lat-bin evenness difference","k_evenness_diff","slope_diff_abs",48,-0.012,0.937,0.937
"All points","|NH-SH slope| vs latitudinal range difference","lat_range_diff","slope_diff_abs",48,0.095,0.519,0.921
"All points","|NH-SH slope| vs extrapolation pressure difference","mean_t_over_nT_diff","slope_diff_abs",48,-0.03,0.839,0.937
"All points","|NH-SH slope| vs high-extrapolation proportion difference","prop_high_extrapolation_diff","slope_diff_abs",48,0.092,0.536,0.921
"Exclude kmin < 3","NH slope vs SH slope","slope_Northern","slope_Southern",1,NA,NA,NA
"Exclude kmin < 3","|NH-SH slope| vs k_min asymmetry","k_min_asym","slope_diff_abs",1,NA,NA,NA
"Exclude kmin < 3","|NH-SH slope| vs n_cells asymmetry","n_cells_asym","slope_diff_abs",1,NA,NA,NA
"Exclude kmin < 3","|NH-SH slope| vs lat-bin difference","n_lat_bins_diff","slope_diff_abs",1,NA,NA,NA
"Exclude kmin < 3","|NH-SH slope| vs lat-bin unevenness difference","k_cv_diff","slope_diff_abs",1,NA,NA,NA
"Exclude kmin < 3","|NH-SH slope| vs lat-bin evenness difference","k_evenness_diff","slope_diff_abs",1,NA,NA,NA
"Exclude kmin < 3","|NH-SH slope| vs latitudinal range difference","lat_range_diff","slope_diff_abs",1,NA,NA,NA
"Exclude kmin < 3","|NH-SH slope| vs extrapolation pressure difference","mean_t_over_nT_diff","slope_diff_abs",1,NA,NA,NA
"Exclude kmin < 3","|NH-SH slope| vs high-extrapolation proportion difference","prop_high_extrapolation_diff","slope_diff_abs",1,NA,NA,NA
