"group1","group2","normal","test_type","shapiro_p1","shapiro_p2"
"Coldhouse","Coolhouse",TRUE,"t-test",0.997978048854719,0.0843287872921216
"Coldhouse","Transitional",TRUE,"t-test",0.997978048854719,0.0579581789650965
"Coldhouse","Warmhouse",FALSE,"Wilcoxon",0.997978048854719,3.48337934074247e-05
"Coldhouse","Hothouse",FALSE,"Wilcoxon",0.997978048854719,2.70820311236203e-05
"Coolhouse","Transitional",TRUE,"t-test",0.0843287872921216,0.0579581789650965
"Coolhouse","Warmhouse",FALSE,"Wilcoxon",0.0843287872921216,3.48337934074247e-05
"Coolhouse","Hothouse",FALSE,"Wilcoxon",0.0843287872921216,2.70820311236203e-05
"Transitional","Warmhouse",FALSE,"Wilcoxon",0.0579581789650965,3.48337934074247e-05
"Transitional","Hothouse",FALSE,"Wilcoxon",0.0579581789650965,2.70820311236203e-05
"Warmhouse","Hothouse",FALSE,"Wilcoxon",3.48337934074247e-05,2.70820311236203e-05
