"qc_type","occurrence_min","collection_min","min_cells_per_latbin","zone_requirement","require_tropical","require_temperate","require_polar","require_adjacent_tt","require_min_lat_bins","slope_filter_id","qc_name"
"occurrence",5,NA,1,"tropical_temperate",TRUE,TRUE,FALSE,TRUE,FALSE,"occurrence5","occurrence5_k1_tropical_temperate"
"occurrence",5,NA,1,"tropical_temperate_polar",TRUE,TRUE,TRUE,TRUE,FALSE,"occurrence5","occurrence5_k1_tropical_temperate_polar"
"occurrence",5,NA,2,"tropical_temperate",TRUE,TRUE,FALSE,TRUE,FALSE,"occurrence5","occurrence5_k2_tropical_temperate"
"occurrence",5,NA,2,"tropical_temperate_polar",TRUE,TRUE,TRUE,TRUE,FALSE,"occurrence5","occurrence5_k2_tropical_temperate_polar"
"occurrence",5,NA,3,"tropical_temperate",TRUE,TRUE,FALSE,TRUE,FALSE,"occurrence5","occurrence5_k3_tropical_temperate"
"occurrence",5,NA,3,"tropical_temperate_polar",TRUE,TRUE,TRUE,TRUE,FALSE,"occurrence5","occurrence5_k3_tropical_temperate_polar"
"occurrence",10,NA,1,"tropical_temperate",TRUE,TRUE,FALSE,TRUE,FALSE,"occurrence10","occurrence10_k1_tropical_temperate"
"occurrence",10,NA,1,"tropical_temperate_polar",TRUE,TRUE,TRUE,TRUE,FALSE,"occurrence10","occurrence10_k1_tropical_temperate_polar"
"occurrence",10,NA,2,"tropical_temperate",TRUE,TRUE,FALSE,TRUE,FALSE,"occurrence10","occurrence10_k2_tropical_temperate"
"occurrence",10,NA,2,"tropical_temperate_polar",TRUE,TRUE,TRUE,TRUE,FALSE,"occurrence10","occurrence10_k2_tropical_temperate_polar"
"occurrence",10,NA,3,"tropical_temperate",TRUE,TRUE,FALSE,TRUE,FALSE,"occurrence10","occurrence10_k3_tropical_temperate"
"occurrence",10,NA,3,"tropical_temperate_polar",TRUE,TRUE,TRUE,TRUE,FALSE,"occurrence10","occurrence10_k3_tropical_temperate_polar"
"collection",NA,5,1,"tropical_temperate",TRUE,TRUE,FALSE,TRUE,FALSE,"collection5","collection5_k1_tropical_temperate"
"collection",NA,5,1,"tropical_temperate_polar",TRUE,TRUE,TRUE,TRUE,FALSE,"collection5","collection5_k1_tropical_temperate_polar"
"collection",NA,5,2,"tropical_temperate",TRUE,TRUE,FALSE,TRUE,FALSE,"collection5","collection5_k2_tropical_temperate"
"collection",NA,5,2,"tropical_temperate_polar",TRUE,TRUE,TRUE,TRUE,FALSE,"collection5","collection5_k2_tropical_temperate_polar"
"collection",NA,5,3,"tropical_temperate",TRUE,TRUE,FALSE,TRUE,FALSE,"collection5","collection5_k3_tropical_temperate"
"collection",NA,5,3,"tropical_temperate_polar",TRUE,TRUE,TRUE,TRUE,FALSE,"collection5","collection5_k3_tropical_temperate_polar"
"collection",NA,10,1,"tropical_temperate",TRUE,TRUE,FALSE,TRUE,FALSE,"collection10","collection10_k1_tropical_temperate"
"collection",NA,10,1,"tropical_temperate_polar",TRUE,TRUE,TRUE,TRUE,FALSE,"collection10","collection10_k1_tropical_temperate_polar"
"collection",NA,10,2,"tropical_temperate",TRUE,TRUE,FALSE,TRUE,FALSE,"collection10","collection10_k2_tropical_temperate"
"collection",NA,10,2,"tropical_temperate_polar",TRUE,TRUE,TRUE,TRUE,FALSE,"collection10","collection10_k2_tropical_temperate_polar"
"collection",NA,10,3,"tropical_temperate",TRUE,TRUE,FALSE,TRUE,FALSE,"collection10","collection10_k3_tropical_temperate"
"collection",NA,10,3,"tropical_temperate_polar",TRUE,TRUE,TRUE,TRUE,FALSE,"collection10","collection10_k3_tropical_temperate_polar"
